'data-make';'data-model';'data-year';'data-trim';'data-extcolor';'data-intcolor';'data-trans';'data-price';'data-engine';'data-fueltype';'data-vehicletype';'data-bodystyle';'data-name';'data-vin';'data-modelcode';'data-msrp';'data-stocknum'
'Ford';'F-350 DRW';'2002';'XL';'Oxford White';'Medium Flint';'';'0';'8 Cyl - 7.3 L';'Diesel Fuel';'used';'Regular Cab Chassis-Cab';'2002 Ford F-350 DRW XL';'1FDWF37F62EC72395';'F37';'0';'US5300'
'Ford';'F-150';'2004';'Lightning';'Sonic Blue Metallic';'Dark Graphite';'Automatic';'49999';'5.4L V8 16V MPFI SOHC Supercharged';'Gasoline Fuel';'used';'Regular Cab Pickup';'2004 Ford F-150 Lightning';'2FTRF073X4CA16212';'F07';'50999';'US4045'
'Ford';'Super Duty F-550 DRW';'2008';'XL Open Service Body';'Oxford White';'Medium stone';'Automatic';'16999';'6.4L V8 32V DDI OHV Twin Turbo Diesel';'Diesel Fuel';'used';'Crew Cab Chassis-Cab';'2008 Ford Super Duty F-550 DRW XL Open Service Body';'1FDAW57R18ED13508';'W57';'18999';'US4891'
'Ford';'F-350 SRW';'2009';'XL Flatbed';'Oxford White';'Medium stone';'Automatic';'0';'8 Cyl - 5.4 L';'Gasoline Fuel';'used';'Extended Cab Pickup';'2009 Ford F-350 SRW XL Flatbed';'1FDWX31589EB15197';'X31';'0';'US5301'
'Mazda';'CX-7';'2011';'i SV';'Black Cherry Mica';'Sand';'Automatic';'3445';'2.5L I4 16V MPFI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2011 Mazda CX-7 i SV';'JM3ER2AM4B0393133';'CX7ISV2A';'0';'US5316'
'Ford';'Escape';'2013';'Titanium 4WD';'Ginger Ale Metallic';'Charcoal Black';'Automatic';'13499';'2.0L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'Sport Utility';'2013 Ford Escape Titanium 4WD';'1FMCU9J91DUA69678';'U9J';'16999';'US5149'
'Toyota';'Corolla';'2014';'S';'Classic Silver Metallic';'Black';'Variable';'16799';'1.8L I4 16V MPFI DOHC';'Gasoline Fuel';'used';'4dr Car';'2014 Toyota Corolla S';'2T1BURHE1EC083842';'1862';'19999';'US5188'
'Nissan';'Rogue';'2014';'S AWD';'Graphite Blue';'Almond';'Variable';'16999';'2.5L I4 16V MPFI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2014 Nissan Rogue S AWD';'5N1AT2MVXEC834551';'22214';'18999';'US5240'
'Ford';'Fusion';'2014';'SE';'Sunset Metallic';'Ebony';'Automatic';'14999';'1.5L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'4dr Car';'2014 Ford Fusion SE';'3FA6P0HD6ER172737';'P0H';'16999';'US5290'
'Jeep';'Wrangler Unlimited';'2015';'Sport 4WD';'Billet Silver Metallic Clearcoat';'Black';'Automatic';'24999';'3.6L V6 24V MPFI DOHC';'Gasoline Fuel';'used';'Convertible';'2015 Jeep Wrangler Unlimited Sport 4WD';'1C4BJWDG8FL544401';'JKJM74';'28999';'US4926'
'Ford';'F-150';'2015';'Platinum SuperCrew';'Guard Metallic';'Black';'Automatic';'32799';'3.5L V6 24V GDI DOHC Twin Turbo';'Gasoline Fuel';'used';'Crew Cab Pickup';'2015 Ford F-150 Platinum SuperCrew';'1FTEW1EG7FFA07940';'W1E';'34999';'US5191'
